X,Y
-0.727695962,1.403000193
-1.875566387,0.589247428
-0.891046918,-1.399924116
-0.224114603,0.868289424
-0.465409279,0.306717533
0.170618702,0.784911698
-1.35218312,-1.049675185
1.409580509,1.142748197
-1.228382921,0.526653954
1.880160539,1.175541995
-1.010540397,1.485637628
-0.660071937,1.390333335
-0.671065917,0.197726266
-0.448808246,-0.970814752
-1.328070096,-0.91154917
-1.210988885,-1.990648578
0.676178025,0.634153155
0.414386471,0.143427444
-0.733589256,0.208252015
-0.471848834,-0.639008072
0.553630806,0.541070932
-0.634296681,1.264266721
-1.168816202,0.448211714
-1.734590486,0.96978963
-0.734554081,-1.163736464
1.311192438,1.312637115
1.123532361,0.599088213
0.534613407,0.142624175
0.929049843,2.015525574
0.123740176,-0.010394742
-0.903933978,-1.543858144
1.312197919,0.928191953
-0.578599423,0.98420717
-1.026363948,0.857105608
-0.167683939,0.903625005
-1.203086367,1.119559589
-1.419755069,1.559493723
-1.65022309,0.455255653
1.419331768,1.152984243
0.833868173,0.89227937
-0.044303636,-0.298565229
-1.245570388,0.15193637
0.02993275,0.136112354
-0.605875257,-1.051798361
-0.755509649,-0.802430669
0.342466976,0.054753757
0.347305748,0.370576869
-0.33513967,-0.371897342
-0.912218636,-1.801703285
0.801584815,0.873840027
-2.066314107,-0.611176465
-0.15929726,-0.618728082
-0.186128541,-0.336354665
1.179570856,-0.24766674
-1.270295901,1.698509431
-1.020566782,-0.900771555
0.574999185,0.815477638
0.259465867,-0.09373444
-0.575629261,-2.232854725
-0.286130735,0.304394983
-0.012682003,0.192749342
0.492928386,0.671195011
-1.156352794,-1.261570815
-0.156560467,0.070357036
0.793823556,0.180070744
0.860101223,1.043830075
-1.191098486,0.626515931
0.706416138,0.824070981
0.160364879,0.317957926
-0.840359038,-0.722401051
0.981022847,0.870900763
0.479190133,0.859468487
-0.302607201,-0.161798923
1.614039332,0.689747867
-1.040671903,1.615418758
-0.63028643,-0.997618309
-0.48183868,0.474503277
-0.492132671,-0.776799574
-0.857277718,1.234018277
-0.9012207,1.17687832
0.178203021,-0.491877679
-0.120601517,0.361105378
1.017383748,0.254478204
