x,y,label
0.543065724,3.931424171,0
2.56369437,3.47310113,0
0.665973144,2.781158912,0
3.55234373,1.538644974,1
1.397116703,0.668682348,1
0.986667265,5.637658,0
1.201593216,0.049200691,1
0.923887637,4.212577843,0
0.892585433,3.739830784,0
1.084651315,-0.216661155,1
0.903228927,4.468936325,0
2.938499496,1.3048946,1
1.398411421,1.647411769,1
2.530671656,-0.006477592,1
-0.677577542,3.527921357,0
0.085000058,3.096772081,0
4.138812783,0.718138574,1
0.739251347,1.349842103,1
3.00497704,0.456598486,1
1.77769069,0.89068526,1
1.35723607,5.745541664,0
-0.156109828,2.630456341,0
1.1926655,0.385681584,1
1.245856611,4.74582185,0
0.442395653,3.894914277,0
1.241683138,1.759539991,1
0.281400946,3.112642128,0
0.34322848,3.60131457,0
0.863321588,4.05066508,0
1.132606749,3.976121031,0
2.631191,2.008769928,1
1.762700533,0.682859589,1
0.46855142,4.101553857,0
0.983603793,4.751740905,0
1.61835642,5.041083627,0
-0.111465719,3.806170804,0
0.807631016,4.383850783,0
3.143107739,0.14459215,1
0.636738404,4.618334832,0
2.249112848,1.068921615,1
2.840494598,0.784980847,1
0.364606348,3.612743287,0
0.5822135,4.71304658,0
3.237221393,-0.497482658,1
2.219201884,-0.085801029,1
1.967536683,0.003981821,1
2.568783751,-0.487482402,1
1.412248022,1.153950609,1
0.285095739,2.836447115,0
2.233639578,-0.15686725,1
1.039528737,0.472315443,1
2.180586763,0.066818514,1
2.013342062,1.100842221,1
1.935575033,4.725388132,0
3.238908203,1.779611477,1
-0.669567756,4.464249135,0
1.714889042,4.539128447,0
2.167105394,-0.29706238,1
3.382355181,0.098433959,1
1.605897461,0.805860399,1
1.179915424,3.989456336,0
1.768341197,4.592757564,0
2.093658499,2.478108044,1
1.42105524,4.157972946,0
1.156414921,0.425076383,1
1.115609365,4.38566048,0
2.089328259,0.61907198,1
0.399948164,5.40695625,0
2.18673603,1.78299679,1
2.778218602,0.184408098,1
0.888181353,-0.009917049,1
1.166537107,4.583966862,0
2.11263594,0.911551031,1
2.014174591,0.380777592,1
2.076845285,1.41649666,1
1.228493275,5.009275563,0
2.246237291,4.129402803,0
-1.284026324,4.819158923,0
1.257260321,5.11064683,0
0.862623753,5.219869563,0
0.437096299,3.995457336,0
0.601485841,4.065485157,0
1.855518482,3.457006583,0
2.454311854,5.14902256,0
2.451614058,2.355270527,1
2.138888742,1.221867476,1
1.523087374,2.96875743,0
2.175803165,2.456083717,1
2.474864996,1.311626687,1
-0.251929091,3.274825782,0
1.799601226,0.336146355,1
2.815020635,5.439836084,0
1.002281629,4.244591986,0
1.590905498,4.324707634,0
1.632292047,5.003765858,0
2.112756617,0.504095169,1
0.748467213,4.985875264,0
0.590523508,2.425572139,1
0.347641532,5.615349734,0
0.794816667,-0.215336664,1
-0.940959516,3.43465651,0
2.087675798,1.333473555,1
1.704576099,3.750415573,0
0.06613035,5.200071295,0
0.079835884,5.000997989,0
-0.682763408,3.742879357,0
0.615306271,3.59831742,0
2.943537391,1.406847257,1
1.520381876,2.92937469,0
1.714218018,0.217593555,1
-0.574348079,4.561850646,0
1.946261844,0.666657828,1
0.499743254,0.306203808,1
1.627933783,4.606636222,0
0.60638956,5.875661497,0
3.134567559,0.294287605,1
1.229772527,5.43121534,0
1.209608983,3.546509507,0
2.326518162,1.158838723,1
4.333752736,0.726976423,1
1.815401026,-0.086809047,1
0.864874169,5.266905225,0
1.015164818,4.144681055,0
2.167413185,3.954962803,0
1.772501173,5.504265878,0
0.796208454,-0.184010755,1
-0.526987605,4.605946851,0
4.750596079,1.058738352,1
1.256799926,6.195840009,0
1.214205988,4.220359496,0
2.387077723,2.247914747,1
0.662465516,4.100315027,0
1.783277764,4.378205883,0
-0.157849622,3.159077448,0
4.027947385,0.997190901,1
-0.305487752,1.876637539,1
2.35761551,0.49197033,1
1.971110457,0.004607899,1
2.800485279,-0.655211012,1
0.505106896,3.903745318,0
0.183440304,3.230179231,0
-0.14225122,3.911440413,0
0.257469909,2.092224283,1
2.063925212,2.766215548,1
2.564731488,0.6797943,1
0.087804717,5.333260824,0
2.93934083,1.037610898,1
2.714037295,1.265575638,1
2.385997395,1.893048565,1
1.644648846,3.907331095,0
1.611380163,3.293184116,0
1.781434251,4.172028748,0
2.4469427,0.556825426,1
2.296934863,1.250754192,1
2.377184771,4.44338092,0
0.321841415,4.76214914,0
0.325423213,4.776206247,0
2.32678458,0.780551328,1
0.527430088,-0.006254337,1
1.35114805,4.455761263,0
2.246581941,2.544300056,0
0.018468141,3.682711238,0
1.507716812,2.94203832,0
-0.006484989,4.967805714,0
1.611041017,1.784194615,1
4.282755291,0.262311459,1
0.88231052,5.170934132,0
0.59532952,3.751850089,0
0.220909242,2.018432025,1
1.546254961,3.702407485,0
1.720727926,4.205945979,0
0.640720484,0.790079728,1
2.567569029,0.392211356,1
2.026946131,-0.403519313,1
0.814214609,3.968165241,0
1.795207833,0.524960371,1
-1.037878791,5.038231783,0
-0.369227559,4.8226098,0
0.408707835,4.581705534,0
0.860712833,5.270144986,0
1.772980586,0.284447059,1
0.87583064,3.725635854,0
1.77736798,4.076331793,0
0.34516925,1.398911725,1
0.741950124,3.700518556,0
3.674571616,0.885103023,1
1.09171362,1.744909356,1
2.849320308,-0.285115819,1
0.492354833,4.533206029,0
0.909116397,1.97289949,1
0.213479291,5.41938714,0
1.767387664,2.627211822,1
3.43061365,0.196915907,1
0.881901382,0.442136283,1
0.640325443,3.318279889,0
1.224906443,0.396520726,1
2.396020349,0.889455009,1
2.601863885,1.39765485,1
3.415495167,0.737154097,1
1.419175224,3.814367553,0
2.410398017,-0.156520226,1
2.850977297,1.474286744,1
1.074145771,3.981511899,0
0.633569674,5.342865637,0
2.621339596,-1.256707633,1
3.167635961,0.875734885,1
2.666985466,0.686507249,1
2.871308101,0.54363944,1
2.576948171,3.158192125,0
-0.058977656,4.044568235,0
0.532927352,3.296803726,0
2.449083087,4.885613268,0
-0.72731328,4.62413237,0
1.499975525,0.964400581,1
0.961802727,4.626066303,0
1.631965135,5.178810332,0
0.800401954,5.051939403,0
2.094482322,0.083045352,1
0.929220413,4.079440581,0
3.246562425,1.03233243,1
2.831489157,2.777272343,1
